Name,Slug,Category Image,Show in Home
Chambre Adulte,cac,https://cdn.prod.website-files.com/656da3bd4abd712dfd496de6/68fe3ca14cf1aea26636f24b_SELENA%20(1).jpg,TRUE
Salle à Manger,sam,https://cdn.prod.website-files.com/656da3bd4abd712dfd496de6/68fe3c741ab0fc05ed5026fc_ARCADE%20FREINE.jpg,TRUE
Chambres Enfant,chambre-enfant,https://cdn.prod.website-files.com/656da3bd4abd712dfd496de6/68fe3c1d78017b3d87cf7196_julia%20(6).jpg,TRUE
Salons et Séjours,salons-et-sejours,https://cdn.prod.website-files.com/656da3bd4abd712dfd496de6/68fe3baaea527d7801765d74_Horizon%20(2).jpg,TRUE
